title,views,date_time,link,thumbnail
Size of a Binary Tree | GeeksforGeeks,14K views,7 years ago,https://www.youtube.com/watch?v=Pivw7bIEB3I,https://i.ytimg.com/vi/Pivw7bIEB3I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBhZTTgow_sFJX6pj9KsiLFeiSONQ
Closest Pair of Points | Divide and Conquer | GeeksforGeeks,244K views,7 years ago,https://www.youtube.com/watch?v=0W_m46Q4qMc,https://i.ytimg.com/vi/0W_m46Q4qMc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARglIGUoNDAP&rs=AOn4CLCrNSv-UujzKVPDxhgWZShdgjBLbg
Find the odd appearing element in O(Log n) time | GeeksforGeeks,8.6K views,7 years ago,https://www.youtube.com/watch?v=YxIiJTnmHJU,https://i.ytimg.com/vi/YxIiJTnmHJU/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgzIGUoQDAP&rs=AOn4CLBKSARLW4Q0SiDBOybSfuTJrUwqYg
Find the largest pair sum in an unsorted array | GeeksforGeeks,10K views,7 years ago,https://www.youtube.com/watch?v=97mCko_YOE0,https://i.ytimg.com/vi/97mCko_YOE0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLAdo9ITT08K7-kr4To0DMJF4inSew
Iterative Search for a key ‘x’ in Binary Tree | GeeksforGeeks,7K views,7 years ago,https://www.youtube.com/watch?v=-jREIGMJ8Tg,https://i.ytimg.com/vi/-jREIGMJ8Tg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByLhrR7yY9ZzgOGgYKRlT_FurO6Q
Segment Tree | Set 2 (Range Minimum Query) | GeeksforGeeks,17K views,7 years ago,https://www.youtube.com/watch?v=wyt5_GJqsMw,https://i.ytimg.com/vi/wyt5_GJqsMw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCASD8CuDkbKlNQMJBRiVb40_JmPA
Sum of given range | Segment Tree | Set 1 | GeeksforGeeks,55K views,7 years ago,https://www.youtube.com/watch?v=0l3xN3BpxHg,https://i.ytimg.com/vi/0l3xN3BpxHg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCc4VncN9AI1Y65bn3ZI1ceBLnsJg
Non-recursive program to delete an entire binary tree | GeeksforGeeks,8.5K views,7 years ago,https://www.youtube.com/watch?v=6_7cgTZJZDI,https://i.ytimg.com/vi/6_7cgTZJZDI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwqbKf8o8Vchf9jjR2E7e3ACSNuA
Find a pair with the given difference | GeeksforGeeks,18K views,7 years ago,https://www.youtube.com/watch?v=qODOVGzk6Zc,https://i.ytimg.com/vi/qODOVGzk6Zc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6rxSU1Dw-ZCxuoVbgOvzqCkvAhQ
Banker's Algorithm | Operating Systems | GeeksforGeeks,129K views,7 years ago,https://www.youtube.com/watch?v=lMNrmDUJ3GY,https://i.ytimg.com/vi/lMNrmDUJ3GY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOH_kO6OXjLkVeDgbgyVutP8jtew
Iterative Method to find Height of Binary Tree | GeeksforGeeks,27K views,7 years ago,https://www.youtube.com/watch?v=E5CIM-A1rrU,https://i.ytimg.com/vi/E5CIM-A1rrU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHS3g2qGNm1J5va_iN9BYhpKSPYA
Find a pair with maximum product in array of Integers | GeeksforGeeks,22K views,7 years ago,https://www.youtube.com/watch?v=PrJdyDMP8VU,https://i.ytimg.com/vi/PrJdyDMP8VU/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgtIGUoNTAP&rs=AOn4CLBNqJx_QrNOcveqv7rwGXpDLtkLdA
Rabin-Karp Algorithm | Searching for Patterns | GeeksforGeeks,275K views,7 years ago,https://www.youtube.com/watch?v=oxd_Z1osgCk,https://i.ytimg.com/vi/oxd_Z1osgCk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNw9OTBdEJQn9WQWlgfCPqspwtYg
Prim's Algorithm for MST(with Code Walkthrough) | GeeksforGeeks,348K views,7 years ago,https://www.youtube.com/watch?v=eB61LXLZVqs,https://i.ytimg.com/vi/eB61LXLZVqs/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLALRiw2oEIpchCogRG2nOKwqMi2Ng
Find minimum number of coins (using Dynamic Programming) | GeeksforGeeks,106K views,7 years ago,https://www.youtube.com/watch?v=F28xN-S1SmI,https://i.ytimg.com/vi/F28xN-S1SmI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARguIGUoOTAP&rs=AOn4CLCVqwu8N8I1O3FDli1kiTVxCrgNsA
Iterative Postorder Traversal | GeeksforGeeks,37K views,7 years ago,https://www.youtube.com/watch?v=G7tvjUGMBJ4,https://i.ytimg.com/vi/G7tvjUGMBJ4/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgrIGUoNzAP&rs=AOn4CLBVfRHgFr_7GaGZYAoEE-530Jt1Pg
